,Tm,Lg,Fld%,Rdrs,Season,RAA,WAA,RAR,WAR,Salary,Acquired,BA,OBP,SLG,OPS,OPS+,Bat,Pos_C,Pos_1B,Pos_2B,Pos_3B,Pos_SS,Pos_OF,Num_Pos,R/AB,2B/AB,3B/AB,HR/AB,RBI/AB,BB/PA,SB - CS,BB - SO,E/Def-Inn,DP/Def-Inn,cluster
29,LAD,NL,0.958,7,2010,10,0.9,28,2.7,6250000.0,Traded,0.248,0.32,0.407,0.727,98.0,R,0,1,0,1,0,0,2,0.1100196463654224,0.0550098231827112,0.0019646365422396855,0.03339882121807466,0.12573673870333987,0.0840630472854641,-4,-90,0.012447099825740604,0.01410671313583935,3
30,TEX,AL,0.966,0,2010,-4,-0.4,3,0.2,510000.0,Purchased,0.277,0.33,0.349,0.679,80.0,S,0,0,1,1,1,0,3,0.10240963855421686,0.060240963855421686,0.006024096385542169,0.0,0.0783132530120482,0.05945945945945946,-2,-13,0.015762215717180814,0.06079711776626886,2
31,NYM,NL,0.997,2,2010,-4,-0.5,1,0.0,750000.0,Free Agency,0.215,0.271,0.3,0.571,56.0,R,1,0,0,0,0,0,1,0.07692307692307693,0.038461538461538464,0.0,0.015384615384615385,0.06153846153846154,0.0763888888888889,1,-15,0.002770083102493075,0.0110803324099723,2
32,SDP,NL,1.0,3,2010,-2,-0.2,2,0.2,410600.0,Amateur Draft,0.157,0.283,0.324,0.607,70.0,R,0,1,0,0,0,1,2,0.13725490196078433,0.058823529411764705,0.00980392156862745,0.029411764705882353,0.14705882352941177,0.125,1,-31,0.0,0.0,2
33,MULTIPLE,MLB,0.958,-16,2010,-16,-1.6,-8,-0.9,1700000.0,Purchased,0.267,0.299,0.38,0.679,85.0,R,0,1,1,1,1,1,5,0.1657754010695187,0.053475935828877004,0.0053475935828877,0.016042780748663103,0.09090909090909091,0.04522613065326633,3,-19,0.01224889759921607,0.014698677119059285,2
34,HOU,NL,0.974,-2,2010,-4,-0.5,2,0.2,1500000.0,Free Agency,0.267,0.321,0.356,0.678,85.0,S,0,1,1,1,1,0,4,0.10891089108910891,0.04950495049504951,0.0049504950495049506,0.009900990099009901,0.10891089108910891,0.06880733944954129,0,-18,0.01616814874696847,0.06197790353004581,2
35,TEX,AL,1.0,-5,2010,-4,-0.4,-4,-0.4,407400.0,Amateur Draft,0.0,0.125,0.0,0.125,-63.0,S,0,0,0,0,0,1,1,0.0,0.0,0.0,0.0,0.0,0.125,0,-3,0.0,0.0,0
36,FLA,NL,0.982,11,2010,5,0.5,11,1.1,420000.0,Traded,0.261,0.32,0.328,0.648,74.0,S,0,0,1,1,1,1,4,0.16666666666666666,0.03333333333333333,0.016666666666666666,0.0,0.05555555555555555,0.0845771144278607,12,-25,0.005633802816901409,0.014084507042253521,2
37,TEX,AL,0.988,20,2010,-3,-0.2,15,1.5,600000.0,Amateur Draft,0.276,0.309,0.34,0.649,71.0,L,0,0,0,0,0,1,1,0.136986301369863,0.02511415525114155,0.0091324200913242,0.00684931506849315,0.0958904109589041,0.0405982905982906,8,-40,0.0036324010170722845,0.0,2
38,HOU,NL,0.992,60,2010,35,3.7,54,5.5,2400000.0,Traded,0.265,0.341,0.346,0.686,89.0,L,0,0,0,0,0,1,1,0.15700934579439252,0.04672897196261682,0.011214953271028037,0.003738317757009346,0.07102803738317758,0.09752066115702479,40,-50,0.002522916491464133,0.0016819443276427553,1
